RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
394634,579,"Gloversville, NY",msa,NY,100444.0,94081.0,106231.0,108160.0,118666.0,112188.0,105548.0,95370.0,105148.0,117776.0,113419.0,110843.0,107452.0,118192.0,123786.0,138161.0,144116.0,147041.0,125097.0,120444.0,119316.0,136164.0,130298.0,125765.0,132657.0,145973.0,142774.0,144676.0,145699.0,155276.0,151889.0,141472.0,145805.0,145010.0,152951.0,161941.0,149092.0,145127.0,144802.0,158043.0,167710.0,170162.0,171071.0,175825.0,165940.0,162945.0,152499.0,146542.0,145886.0,154756.0,156178.0,152646.0,141547.0,145991.0,147467.0,156479.0,168509.0,175920.0,176667.0,196161.0,192043.0,187121.0,163221.0,159065.0,164229.0,145783.0
394604,580,"Fort Leonard Wood, MO",msa,MO,138877.0,131890.0,130711.0,131869.0,134996.0,140280.0,141426.0,143620.0,140906.0,149880.0,155103.0,157819.0,154151.0,154627.0,149677.0,151080.0,150506.0,154075.0,158805.0,155230.0,154985.0,155284.0,160958.0,163220.0,160158.0,161263.0,163288.0,166206.0,164353.0,166149.0,165028.0,167398.0,168180.0,167472.0,169160.0,171511.0,178528.0,182927.0,181065.0,178117.0,176410.0,179171.0,181009.0,185675.0,188720.0,188609.0,195334.0,202010.0,202592.0,197663.0,191431.0,188485.0,185328.0,175888.0,176401.0,184486.0,197539.0,210287.0,209433.0,209883.0,207100.0,208661.0,213230.0,212723.0,215270.0,224427.0
394993,581,"Poplar Bluff, MO",msa,MO,114138.0,108430.0,104597.0,106636.0,102110.0,110608.0,111219.0,109312.0,108067.0,113615.0,120002.0,114060.0,118875.0,126085.0,123174.0,117781.0,111846.0,113412.0,115972.0,122311.0,124938.0,127609.0,121275.0,125490.0,126067.0,127365.0,126987.0,129544.0,136152.0,135960.0,136772.0,135761.0,138464.0,130188.0,126299.0,124794.0,128257.0,129585.0,131703.0,135290.0,130775.0,132430.0,129046.0,135224.0,137424.0,139044.0,133552.0,134135.0,138308.0,149236.0,148770.0,149754.0,151684.0,149115.0,141529.0,135808.0,137910.0,139661.0,140930.0,146909.0,155576.0,155212.0,152678.0,140121.0,144117.0,145726.0
394562,582,"Elizabeth City, NC",msa,NC,166808.0,174854.0,213446.0,236295.0,245350.0,208728.0,184379.0,169811.0,162844.0,167744.0,153855.0,157834.0,155859.0,166859.0,169764.0,165875.0,166264.0,168941.0,175492.0,180964.0,191074.0,194738.0,189616.0,190242.0,186340.0,201573.0,202634.0,211422.0,206452.0,202869.0,199506.0,202035.0,211312.0,214714.0,219477.0,222943.0,231999.0,221920.0,209052.0,198445.0,211650.0,238375.0,253114.0,265571.0,262376.0,258069.0,245975.0,240618.0,232337.0,226281.0,217715.0,231096.0,228271.0,232906.0,229831.0,248899.0,246674.0,238907.0,235071.0,232214.0,228126.0,222718.0,225973.0,236712.0,233164.0,219017.0
394967,583,"Payson, AZ",msa,AZ,226793.0,216796.0,220548.0,223075.0,231854.0,233444.0,226955.0,216651.0,224881.0,242154.0,259231.0,249776.0,249829.0,246988.0,256992.0,254405.0,249859.0,239775.0,270325.0,273998.0,273630.0,235503.0,242261.0,255213.0,277554.0,286326.0,297246.0,299657.0,303748.0,300617.0,303047.0,300925.0,302376.0,318578.0,341483.0,356996.0,355331.0,353860.0,363436.0,378697.0,384059.0,377336.0,362983.0,370977.0,371978.0,384296.0,379760.0,391800.0,379398.0,380749.0,393692.0,392858.0,369176.0,345144.0,341472.0,389544.0,399731.0,413673.0,382188.0,408212.0,421308.0,434614.0,409994.0,387640.0,381121.0,385420.0
394344,584,"Athens, TN",msa,TN,125454.0,127322.0,133185.0,135455.0,139258.0,130349.0,128150.0,126069.0,130537.0,135336.0,138642.0,147147.0,143776.0,142488.0,139681.0,143936.0,142799.0,136129.0,131236.0,137891.0,145544.0,146434.0,133297.0,131154.0,135157.0,144214.0,150556.0,148619.0,153215.0,152464.0,161978.0,166757.0,172258.0,180937.0,185636.0,191427.0,194128.0,199322.0,211793.0,214631.0,213091.0,211114.0,206201.0,209768.0,208434.0,223325.0,229198.0,224626.0,222636.0,221228.0,225420.0,223263.0,216864.0,214078.0,212697.0,219941.0,226421.0,225951.0,221725.0,228860.0,233264.0,240625.0,225515.0,225304.0,219868.0,209091.0
394571,585,"Enterprise, AL",msa,AL,130312.0,134062.0,132107.0,134433.0,126358.0,131252.0,130834.0,136831.0,131793.0,132928.0,140282.0,134205.0,139038.0,144241.0,147457.0,157682.0,143649.0,146474.0,132143.0,142710.0,149210.0,151007.0,145485.0,150280.0,155528.0,153003.0,151179.0,161816.0,166971.0,166423.0,159744.0,163262.0,168566.0,173380.0,166530.0,161981.0,162359.0,176591.0,179715.0,183156.0,177534.0,179214.0,189693.0,184742.0,188434.0,180051.0,185003.0,192845.0,196270.0,189146.0,179785.0,182875.0,191623.0,188544.0,191159.0,190463.0,192836.0,188374.0,195441.0,207134.0,204906.0,198169.0,192883.0,191672.0,192075.0,184424.0
394339,586,"Ashland, OH",msa,OH,116948.0,118983.0,123022.0,126377.0,128322.0,125591.0,125698.0,121939.0,129367.0,139098.0,136439.0,134767.0,124993.0,136856.0,135941.0,139988.0,138269.0,135506.0,136300.0,131861.0,135553.0,144130.0,141576.0,139832.0,126551.0,134007.0,143995.0,145639.0,148420.0,136917.0,139948.0,135944.0,144838.0,146792.0,145728.0,146714.0,139750.0,148428.0,149474.0,159497.0,167389.0,170108.0,175062.0,161156.0,160586.0,159515.0,168984.0,176893.0,181129.0,186401.0,188528.0,177542.0,167778.0,160603.0,174371.0,175095.0,160787.0,152155.0,159414.0,175157.0,183312.0,177556.0,169466.0,166162.0,180572.0,198614.0
394861,588,"Milledgeville, GA",msa,GA,159819.0,152639.0,141889.0,130153.0,136830.0,142722.0,151187.0,149946.0,147439.0,145581.0,156042.0,160734.0,160663.0,155296.0,151078.0,159194.0,165641.0,185172.0,186922.0,179796.0,179950.0,172252.0,196167.0,201390.0,228287.0,213085.0,211850.0,208941.0,206066.0,184158.0,178554.0,205933.0,227564.0,242968.0,213816.0,233910.0,240284.0,259298.0,239956.0,247756.0,245893.0,242328.0,227396.0,250675.0,279424.0,266462.0,252739.0,240176.0,271382.0,276044.0,265317.0,234636.0,253488.0,288092.0,303180.0,285047.0,267304.0,252976.0,267125.0,283653.0,333693.0,329635.0,291716.0,243958.0,209094.0,231054.0
394363,590,"Bartlesville, OK",msa,OK,116754.0,113803.0,117871.0,111814.0,117536.0,118631.0,130950.0,130175.0,123819.0,120693.0,126255.0,131670.0,128435.0,126017.0,127483.0,125421.0,110745.0,112643.0,119205.0,133919.0,122262.0,119958.0,111853.0,122757.0,123791.0,127328.0,128046.0,134472.0,133467.0,129503.0,124863.0,134425.0,149301.0,161031.0,159164.0,154014.0,152662.0,153620.0,154079.0,152072.0,152132.0,151908.0,145770.0,149229.0,150115.0,158389.0,162923.0,161211.0,161838.0,174019.0,180701.0,181030.0,168543.0,156347.0,148013.0,144395.0,143481.0,150783.0,153394.0,159846.0,161978.0,167259.0,167142.0,157532.0,144898.0,152480.0
