State,Year,Quarter,Median_Home_Price,Mortgage_rate,Monthly_loan_payment,Minimum_income_needed_monthly,Minimum_income_needed_yearly
KY,2021,4,185480.0,3.079230769230769,789.939196073735,2633.130653579117,31597.5678429494
LA,2021,4,200037.3333333333,3.079230769230769,851.937299321043,2839.7909977368104,34077.49197284172
MA,2021,4,363984.3333333333,3.079230769230769,1550.169784649384,5167.232615497946,62006.79138597536
MD,2021,4,280218.6666666667,3.079230769230769,1193.420898595647,3978.0696619854903,47736.835943825885
ME,2021,4,240784.0,3.079230769230769,1025.4729317846572,3418.2431059488576,41018.91727138629
MI,2021,4,171577.66666666666,3.079230769230769,730.7306667612354,2435.7688892041183,29229.226670449418
MN,2021,4,229845.16666666663,3.079230769230769,978.8856274428525,3262.952091476175,39155.425097714106
MO,2021,4,183402.0,3.079230769230769,781.0892195294109,2603.6307317647033,31243.56878117644
MS,2021,4,207510.3333333333,3.079230769230769,883.7639955268821,2945.879985089607,35350.55982107529
MT,2021,4,429866.5,3.079230769230769,1830.7547844998392,6102.515948332797,73230.19137999357
NC,2021,4,207785.3333333333,3.079230769230769,884.9351906903513,2949.7839689678376,35397.407627614055
ND,2021,4,264282.3333333333,3.079230769230769,1125.5497839649784,3751.832613216595,45021.99135859914
NE,2021,4,226840.66666666663,3.079230769230769,966.089787920513,3220.2992930683768,38643.591516820525
NH,2021,4,363180.6666666667,3.079230769230769,1546.7470555110515,5155.823518370172,61869.88222044206
NJ,2021,4,292334.5,3.079230769230769,1245.0209182370997,4150.069727456999,49800.83672948399
NM,2021,4,213966.0,3.079230769230769,911.2579794431355,3037.526598143785,36450.319177725425
NV,2021,4,392230.3333333333,3.079230769230769,1670.4664340579384,5568.221446859795,66818.65736231754
NY,2021,4,180321.5,3.079230769230769,767.9697042528035,2559.899014176012,30718.788170112144
OH,2021,4,147228.33333333334,3.079230769230769,627.0294979114149,2090.098326371383,25081.179916456596
OK,2021,4,156613.0,3.079230769230769,666.9977750414915,2223.3259168049717,26679.91100165966
OR,2021,4,395280.3333333333,3.079230769230769,1683.4560531436885,5611.520177145629,67338.24212574755
PA,2021,4,165396.33333333334,3.079230769230769,704.405038747449,2348.0167958248303,28176.201549897964
RI,2021,4,380685.6666666667,3.079230769230769,1621.2989512802487,5404.32983760083,64851.95805120996
SC,2021,4,214553.66666666663,3.079230769230769,913.7607880167067,3045.8692933890225,36550.431520668266
SD,2021,4,285456.8333333333,3.079230769230769,1215.729682106359,4052.4322736878635,48629.18728425436
TN,2021,4,227844.66666666663,3.079230769230769,970.3657149900516,3234.552383300172,38814.62859960207
TX,2021,4,232115.3333333333,3.079230769230769,988.5540209711038,3295.1800699036794,39542.16083884415
USA,2021,4,316985.6666666667,3.079230769230769,1350.0075625057343,4500.025208352448,54000.30250022938
UT,2021,4,462450.6666666667,3.079230769230769,1969.5272150659343,6565.090716886448,78781.08860263738
VA,2021,4,241003.3333333333,3.079230769230769,1026.4070486544301,3421.3568288481006,41056.28194617721
VT,2021,4,305156.3333333333,3.079230769230769,1299.627715280041,4332.0923842668035,51985.10861120164
WA,2021,4,411158.1666666667,3.079230769230769,1751.078022621401,5836.926742071337,70043.12090485604
WI,2021,4,206350.0,3.079230769230769,878.8222617522924,2929.407539174308,35152.8904700917
WV,2021,4,151576.33333333334,3.079230769230769,645.5471581687395,2151.823860562465,25821.886326749584
WY,2021,4,291116.0,3.079230769230769,1239.8314589400552,4132.771529800184,49593.25835760221
AL,2022,1,187890.8333333333,3.822307692307692,877.8788786269664,2926.2629287565546,35115.15514507866
AR,2022,1,175148.33333333334,3.822307692307692,818.3423306621245,2727.8077688737485,32733.693226484982
AZ,2022,1,344557.3333333333,3.822307692307692,1609.868879940202,5366.229599800674,64394.75519760809
CA,2022,1,511998.0,3.822307692307692,2392.198821652198,7973.996072173994,95687.95286608793
CO,2022,1,517593.6666666667,3.822307692307692,2418.3433519166883,8061.144506388961,96733.73407666753
CT,2022,1,309890.3333333333,3.822307692307692,1447.8948945921798,4826.316315307266,57915.795783687194
DE,2022,1,307083.6666666667,3.822307692307692,1434.7813576393587,4782.60452546453,57391.25430557436
FL,2022,1,306053.6666666667,3.822307692307692,1429.9689076174805,4766.5630253916015,57198.756304699215
GA,2022,1,195100.3333333333,3.822307692307692,911.5636926393288,3038.545642131096,36462.54770557315
HI,2022,1,889292.1666666666,3.822307692307692,4155.023404787773,13850.078015959243,166200.93619151093
IA,2022,1,171576.66666666666,3.822307692307692,801.6544983047042,2672.181661015681,32066.179932188174
ID,2022,1,358681.5,3.822307692307692,1675.8609636140043,5586.203212046681,67034.43854456017
IL,2022,1,128582.33333333331,3.822307692307692,600.7728668574683,2002.5762228582278,24030.914674298732
IN,2022,1,177064.33333333334,3.822307692307692,827.2944221591335,2757.648073863779,33091.77688636535
KS,2022,1,199471.0,3.822307692307692,931.9846779748858,3106.6155932496195,37279.38711899544
KY,2022,1,187402.0,3.822307692307692,875.5949116505635,2918.6497055018785,35023.79646602254
LA,2022,1,202343.5,3.822307692307692,945.4058067980375,3151.3526893267917,37816.2322719215
MA,2022,1,368970.3333333333,3.822307692307692,1723.9332900218726,5746.444300072909,68957.33160087491
MD,2022,1,287444.8333333333,3.822307692307692,1343.0231985086123,4476.743995028708,53720.927940344496
ME,2022,1,242248.3333333333,3.822307692307692,1131.852424320425,3772.8414144014164,45274.096972816995
MI,2022,1,174554.0,3.822307692307692,815.5654379795973,2718.551459931991,32622.617519183892
MN,2022,1,227940.8333333333,3.822307692307692,1065.0037556912723,3550.012518970908,42600.1502276509
MO,2022,1,183756.66666666663,3.822307692307692,858.5628878838114,2861.876292946038,34342.515515352454
MS,2022,1,215376.0,3.822307692307692,1006.2973164195248,3354.324388065083,40251.892656781
MT,2022,1,453028.1666666667,3.822307692307692,2116.675155909312,7055.583853031039,84667.00623637247
NC,2022,1,217397.3333333333,3.822307692307692,1015.7415549090623,3385.805183030208,40629.66219636249
ND,2022,1,268818.1666666667,3.822307692307692,1255.9941670449969,4186.647223483323,50239.76668179987
NE,2022,1,227726.3333333333,3.822307692307692,1064.0015512935122,3546.671837645041,42560.06205174049
NH,2022,1,370278.6666666667,3.822307692307692,1730.0461917486928,5766.82063916231,69201.84766994772
NJ,2022,1,303566.6666666667,3.822307692307692,1418.3489433413522,4727.829811137841,56733.95773365409
NM,2022,1,219141.0,3.822307692307692,1023.888456548042,3412.961521826807,40955.53826192168
NV,2022,1,418888.3333333333,3.822307692307692,1957.1642416647196,6523.880805549065,78286.56966658878
NY,2022,1,181624.0,3.822307692307692,848.5984687122974,2828.6615623743246,33943.9387484919
OH,2022,1,145501.66666666666,3.822307692307692,679.8247562459832,2266.082520819944,27192.990249839328
OK,2022,1,160114.66666666666,3.822307692307692,748.100806896188,2493.669356320627,29924.032275847523
OR,2022,1,401700.3333333333,3.822307692307692,1876.8570659598186,6256.190219866062,75074.28263839275
PA,2022,1,167701.33333333334,3.822307692307692,783.5478497757853,2611.8261659192844,31341.91399103141
RI,2022,1,381667.6666666667,3.822307692307692,1783.2588066022602,5944.196022007534,71330.35226409041
SC,2022,1,224422.66666666663,3.822307692307692,1048.5658903980952,3495.2196346603178,41942.63561592381
SD,2022,1,295567.8333333333,3.822307692307692,1380.9761417394077,4603.2538057980255,55239.045669576306
TN,2022,1,230935.16666666663,3.822307692307692,1078.994124152934,3596.6470805097806,43159.764966117364
TX,2022,1,237632.16666666663,3.822307692307692,1110.2843938582937,3700.9479795276457,44411.37575433175
USA,2022,1,324422.3333333333,3.822307692307692,1515.7924904348388,5052.641634782796,60631.699617393555
UT,2022,1,487911.6666666667,3.822307692307692,2279.6606902182434,7598.868967394145,91186.42760872975
VA,2022,1,252610.3333333333,3.822307692307692,1180.2666059968378,3934.2220199894596,47210.66423987351
